"fen","material_cmp","castle_white_kingside","castle_white_queenside","castle_black_kingside","castle_black_queenside"
"r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"r2qkb1r/1pp2ppp/p1B1pn2/3p1b2/5P2/1P2PN2/PBPP2PP/RN1QK2R b KQkq - 0 7","1","1","1","1","1"
"2kr1bnr/ppp3qp/2n1b3/1N2pB2/8/1N2PQpP/PPPP2P1/R1B1KR2 b Q - 0 15","1","0","1","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"rn1qkbnr/pp4pp/3pb3/2p2p2/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 6","0","1","1","1","1"
"r4k2/5p1p/3P2p1/4P3/5PP1/1n6/R4P2/6K1 b - - 0 43","-1","0","0","0","0"
"4r1k1/5pp1/8/7p/3P4/2PB4/P4q1Q/2K3R1 b - - 0 26","1","0","0","0","0"
"r1b1k2r/pppp1ppp/2n5/2b3q1/2B1P3/P2QP3/1P4PP/RN2K1NR w KQkq - 1 11","-1","1","1","1","1"
"rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"5r1r/4n1QP/1pp1kp2/p5p1/2PP1P2/P5P1/1PB5/5K2 b - - 0 44","1","0","0","0","0"
"1r6/5p2/p3k1p1/2r5/1p2P3/1P3P2/PK4P1/2R4R b - - 5 30","1","0","0","0","0"
"2kr1r2/pp3p1p/1qpnp2Q/4Np2/3P4/5P1P/PPP3P1/1K1RR3 b - - 4 20","0","0","0","0","0"
"8/ppp2kbp/6p1/2P2p2/1P6/P7/6PP/3N2K1 w - - 1 30","-1","0","0","0","0"
"r1b2rk1/p2nqppp/1ppb1n2/4p3/1PPpP3/P2P1NP1/2QN1PBP/R1B2RK1 w - - 0 12","0","0","0","0","0"
"rnbqkbnr/pp1p1ppp/8/4p3/3pP3/2P5/PP3PPP/RNBQKBNR w KQkq - 0 4","-1","1","1","1","1"
"7k/6p1/p1pBpp2/2P5/2P5/7q/PP3P1K/8 w - - 0 37","-1","0","0","0","0"
"rnbqkbnr/pppp1ppp/4p3/8/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"8/5k2/1p3ppp/p1P5/P4K1P/1P6/8/4R3 b - - 0 33","1","0","0","0","0"
"r1bqr1k1/ppbn1ppp/2p1p3/8/3PB3/4PNB1/PP3PPP/R2QK2R b KQ - 0 12","0","1","1","0","0"
"r1bqkb1r/ppp1pp1p/n4np1/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5","0","1","1","1","1"
"r3k2r/pppb3q/2np1p2/2b1p1p1/2B1P1p1/3P2N1/PPP2PPN/R1BQ1RK1 w kq - 2 14","1","0","0","1","1"
"2rq1rk1/p1nbp1bp/3p2p1/1p3p2/3P1BnP/P1N1P3/1PQNBPP1/1K3R1R b - - 1 15","0","0","0","0","0"
"4rrk1/pp2R2p/2p3p1/1n4B1/3P4/8/PRP3PP/6K1 w - - 1 23","0","0","0","0","0"
"r2q1rk1/ppp2pp1/1n3n1p/3p3b/3P3B/2P2N1P/P1P1BPP1/1R1Q1RK1 w - - 3 13","0","0","0","0","0"
"8/1q5p/4k2r/3p4/3Q2P1/2P1P3/PPK2R2/8 b - - 8 38","1","0","0","0","0"
"5n2/p5k1/1p4p1/2p5/2r5/4B3/P2K4/5R2 w - - 2 39","-1","0","0","0","0"
"rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4","0","1","1","1","1"
"r2q1rk1/pp5p/3pb1p1/4B3/2P1P3/1P4nP/P2N2BK/R4R2 w - - 0 21","-1","0","0","0","0"
"8/3k3p/4p2p/2pr4/5KP1/7P/2R5/8 w - - 2 38","-1","0","0","0","0"
"rnbq1rk1/ppp1bppp/3p4/8/3NP1n1/2N1B3/PPPQ1PPP/2KR1B1R b - - 8 8","0","0","0","0","0"
"r1b2rk1/1ppn1ppp/4pn2/pq6/P7/2BP1NP1/1PP2PBP/R2Q1RK1 b - - 0 11","0","0","0","0","0"
"5rk1/p1q1ppbp/3p2p1/1p1Q3P/2r5/2P1PPB1/PP3P2/3R1RK1 w - - 3 24","0","0","0","0","0"
"8/8/3QK3/8/8/8/1k6/8 b - - 0 74","1","0","0","0","0"
"rn1qkbnr/pbp2ppp/1p1p4/3Pp3/4P3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 5","0","1","1","1","1"
"r2qkbnr/1bp2ppp/p1n5/1p2p3/4P3/1B3N2/PPP1QPPP/RNB1K2R b KQkq - 1 8","0","1","1","1","1"
"8/p4n2/1p6/7p/6k1/1P6/P7/2K5 w - - 0 43","-1","0","0","0","0"
"rnbqk2r/ppp1ppbp/5np1/3p2B1/3P4/5N1P/PPP1PPP1/RN1QKB1R w KQkq - 4 5","0","1","1","1","1"
"r3r1k1/p2n2b1/2p1p1Q1/1p2p3/4P3/2NP3P/PPP3P1/R4RK1 w - - 2 21","1","0","0","0","0"
"rnbq1rk1/ppp2pb1/3p1npp/4p3/2BPP3/5Q1N/PPP2PPP/RNB2RK1 b - - 1 8","0","0","0","0","0"
"5rk1/5ppp/1QB1p3/8/7R/P6P/6PK/q7 b - - 3 30","1","0","0","0","0"
"8/8/p2kp3/6pp/2pP4/1pK2PP1/7P/8 b - - 0 42","-1","0","0","0","0"
"5rk1/p1p3pp/1rpb1p2/4P3/1P1P1Pb1/P7/3N2PP/2R2RK1 b - - 0 22","-1","0","0","0","0"
"r1bqk2r/pppp1ppp/5n2/2P5/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 7","1","1","1","1","1"
"r2qk2r/ppp1nppp/2n5/2bbp3/8/2P3P1/PP1PNPBP/RNBQ1R1K w kq - 0 9","0","0","0","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"5r2/3Rppk1/prN3pp/2p1q3/P1Q5/4P3/5PPP/5RK1 w - - 2 22","1","0","0","0","0"
"2kr1br1/pp6/2pp3p/5p2/PP2Np2/5P2/2P2P1P/R2R1K2 w - - 0 25","-1","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2","0","1","1","1","1"
"r1b1k2r/pp1n1ppp/4p3/2q1P3/6Q1/2N2N2/PP3PPP/R3KB1R b KQkq - 0 12","1","1","1","1","1"
"rnb1kbnr/ppp2ppp/8/3pP1B1/8/5N2/PPP1BPPP/RN2K2R w KQkq - 0 8","0","1","1","1","1"
"1rb1k2r/pp5p/4p2b/2p1n2n/Q1P3pP/3P2P1/PP2N1B1/RN2K2R b KQk - 5 16","1","1","1","1","0"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2","0","1","1","1","1"
"1k1r3r/p1p3bp/1q4p1/2p5/3PP3/2B1P1P1/PPP1Q1B1/1K1R1R2 b - - 1 23","1","0","0","0","0"
"rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3","0","1","1","1","1"
"3r1rk1/2Q2ppp/3b4/p3p3/P7/2Bn1N2/1P3PPP/R4RK1 w - - 1 22","1","0","0","0","0"
"r1bq1rk1/pp1nbppp/2p1pn2/2Pp4/3P1B2/2N2N1P/PP2PPP1/R2QKB1R w KQ - 3 8","0","1","1","0","0"
"r4rk1/ppq2ppp/2nbpn2/1B1pNb2/3P1P2/1QN1P3/PP4PP/R1B1K2R w KQ - 1 11","0","1","1","0","0"
"rnbqkb1r/3p1Qpp/2p5/p1n1p3/Pp6/1BP5/NP1P1PPP/R1B1K1NR b KQkq - 0 9","0","1","1","1","1"
"6k1/p4Npp/1p2b3/6N1/1P6/1n2P2P/1P3PP1/4K2R w - - 2 26","1","0","0","0","0"
"r2qkbnr/pp1b1ppp/2npp3/1B6/3NP3/2N5/PPP2PPP/R1BQK2R w KQkq - 0 7","0","1","1","1","1"
"rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3","0","1","1","1","1"
"8/p5k1/bp1p2p1/5p2/8/1P2PPnR/PK6/1B6 b - - 2 35","1","0","0","0","0"
"rn1qkb1r/pp3pp1/2p1pn1p/4Nb2/5P2/2Np4/PPP1B1PP/R1BQK2R w KQkq - 0 9","-1","1","1","1","1"
"r1b1kb2/pp6/1qp1p1pr/8/6PQ/2NP4/P1PB4/2R1KR2 w q - 0 22","-1","0","0","0","1"
"4r3/6kp/1p2q1p1/p1p5/3p1B2/1P1Q3P/P4PP1/3R2K1 w - - 2 30","1","0","0","0","0"
"2r5/8/2p1b1k1/3pPp1p/1r1B1P2/4P1P1/2R2K2/7R w - - 3 38","0","0","0","0","0"
"r4rk1/pp3ppp/2p1p3/8/3PP2q/5n1P/PPQB1P1R/2KR4 w - - 0 18","-1","0","0","0","0"
"8/p1R3p1/bp3n2/6k1/1P2P2p/2N2P2/1PP3PP/4K3 w - - 0 27","1","0","0","0","0"
"5br1/8/R1p1kn2/3p3p/3P3r/1P3Q2/3P4/2B2K2 b - - 4 30","1","0","0","0","0"
"8/7R/8/1p6/p2K4/1r4k1/4bp2/8 w - - 0 65","-1","0","0","0","0"
"r2qk1r1/1pp2p1p/p2b4/3NpP2/6b1/4QN2/PPP2PPP/R4RK1 b q - 0 14","1","0","0","0","1"
"rnbq1k1r/pppp1Bpp/5n2/2b1p3/4P3/2N2Q2/PPPP1PPP/R1B1K1NR b KQ - 4 5","1","1","1","0","0"
"r4rk1/4n1bp/1p1pqpp1/p3p3/P1NpP3/1P1P3P/2P2PPN/R2Q1RK1 b - - 1 17","0","0","0","0","0"
"r1bqk2r/ppp2p1p/3p1np1/4p3/1PB1P3/3P4/P2BNKPP/2RQ3R b kq - 0 14","1","0","0","1","1"
"1rb3k1/5n2/pqn2p2/2pQ3p/2P1P2P/1P3N2/P1P2P2/2K5 w - - 1 25","-1","0","0","0","0"
"r1b1k2r/ppp1qppp/3p1n2/8/2BQPB2/2N5/PPP3PP/R3K2R w KQkq - 1 10","1","1","1","1","1"
"r2q1rk1/pp1b2pp/2nb1p2/2p1p3/2PpP3/BP3NP1/P3PPBP/R2QK2R b KQ - 2 12","0","1","1","0","0"
"r1bk1b1r/ppp2Qpp/8/4n1q1/4B3/8/PPPP1PPP/RNB1K2R w KQ - 1 10","1","1","1","0","0"
"r3k2r/pp1B1ppp/4p3/q2p4/3P4/P1P1PQ2/5PPP/R1B2K1R b kq - 0 13","1","0","0","1","1"
"5r1k/1pp4n/p2b4/3p4/3P1qP1/1PP4P/1P1Q4/6RK b - - 0 28","-1","0","0","0","0"
"6k1/ppp2q1r/3p2pP/4pbQ1/2P5/1PP2P2/P2NK2P/R5R1 w - - 3 26","1","0","0","0","0"
"1r1q1r2/p2p1p1p/np1ppk1b/8/1P4PP/2P5/P3N3/RNBQKB1b b Q - 0 15","-1","0","1","0","0"
"1r2r1k1/1b2pp2/p5pp/1p2P3/5P2/1P1Q1NP1/P4qBP/3R3K w - - 0 25","-1","0","0","0","0"
"6k1/1R6/4p3/4Pp2/4pP2/2r1P1K1/6PP/8 w - - 9 38","1","0","0","0","0"
"2r1k1nr/p4ppp/4p1b1/q1bp4/P2N4/4B2P/3NQPP1/2R2RK1 w k - 2 19","-1","0","0","1","0"
"rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2","0","1","1","1","1"
"2b2rk1/5ppp/4p3/1r1p4/5P2/P6R/2P3PP/3R2K1 w - - 0 24","-1","0","0","0","0"
"rn1qkbnr/pbpp1p1p/1p2p1p1/3P4/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5","0","1","1","1","1"
"r2bk2r/pb1pn1qp/1p2p1p1/2p2p2/2P1P3/P1NPBB2/1P4PP/R2Q1RK1 w kq - 2 15","-1","0","0","1","1"
"2kr4/ppp1q1p1/4p3/PP6/2Pb4/3Q1nNP/4nP1P/R4R1K b - - 0 24","0","0","0","0","0"
"rn2k2r/1p1nqpp1/p3p1p1/3p4/3P3P/2NQ4/PPP1BPP1/2KR3R w kq - 0 14","0","0","0","1","1"
"rnbqkbnr/pppp2pp/4pp2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3","0","1","1","1","1"
"4r1k1/pppn4/6pp/3P1p2/3P4/2PB4/P1P3PP/2K4R w - - 0 20","1","0","0","0","0"
"rnbqr1k1/ppp2ppp/3b1n2/3p4/3P1P2/2PB1N2/PP4PP/RNBQK2R w KQ - 3 8","0","1","1","0","0"
"r5k1/p1pp1pp1/1p3n1p/2q5/8/P1P2Q2/PK4PP/4BBNR b - - 0 19","1","0","0","0","0"
"rnbqkbnr/pppp1ppp/4p3/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2","0","1","1","1","1"
"r3r1k1/ppq2ppp/2p1b1n1/3p1n2/3P4/2PBBNP1/PPQ2PP1/R3R1K1 b - - 2 16","0","0","0","0","0"
"rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3","0","1","1","1","1"
"rn1qkb1r/pp2pppp/2p2n2/3p4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq - 2 5","0","1","1","1","1"
"r2qn1k1/5pb1/1p4pp/p1n5/2P5/P2pPPB1/1P1Q1P1P/3RR1K1 b - - 0 19","0","0","0","0","0"
"r1bq1k1r/ppp3pp/2p2n2/2b5/2B5/5Q2/PPPP1PPP/RNB1K2R w KQ - 2 9","1","1","1","0","0"
"2r2rk1/pp1qpp1p/6p1/2pP2Q1/2P1N1n1/1P2B3/P5PP/5RK1 b - - 10 21","-1","0","0","0","0"
"r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5","0","1","1","1","1"
"5rk1/3q1pb1/2p4p/pp1pB1pn/3P4/2P2N1P/PP1NrPPQ/1R4K1 b - - 2 24","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1bqk2r/ppppnppp/8/3Pp3/1b2P3/6P1/PP1P1PBP/R1BQK1NR b KQkq - 0 7","0","1","1","1","1"
"r6k/2R3p1/p6p/1p1b4/P7/1N4RP/1P4PK/4r3 b - - 0 29","0","0","0","0","0"
"r5k1/1p3rbp/1q1pQ1p1/2pPp3/p1P2p2/1P6/P4PPP/1RB2RK1 w - - 2 23","-1","0","0","0","0"
"r2k4/2p1n1pp/pp3p2/3p1P2/3P4/2P4P/r4PP1/1R2R1K1 b - - 1 20","-1","0","0","0","0"
"8/5p2/5Pp1/2k1B1P1/2p1KP2/2P5/1P6/8 b - - 12 54","1","0","0","0","0"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"r3k2r/ppp2ppp/2nqp3/n2p4/P2P1N2/N1P2P2/1PQ3PP/5RK1 b kq - 5 16","-1","0","0","1","1"
"rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2","0","1","1","1","1"
"2rqk2r/pb2b1p1/1p2pnpp/2ppB3/7P/2NPP2B/PPP2P2/2RQK2R b Kk - 2 15","-1","1","0","1","0"
"r2qkbnr/p1p2ppp/2pp4/4p3/2B1P1b1/5N2/PPP2PPP/RNBQ1RK1 b kq - 1 7","1","0","0","1","1"
"8/p2kb1p1/1p2ppp1/3pP3/2rP4/n6P/R2NNPP1/6K1 b - - 4 32","-1","0","0","0","0"
"5Q2/8/p7/1p3k2/4p3/2PpK1p1/PP6/8 b - - 1 39","1","0","0","0","0"
"rn1qkb1r/pp2pppp/5n2/3p4/3P1Pb1/5N2/PPP3PP/RNBQKB1R w KQkq - 1 6","0","1","1","1","1"
"r2qbrk1/1ppn1ppp/p1nb4/3B4/8/1PN1PN2/PBQ2PPP/3R1RK1 w - - 1 14","0","0","0","0","0"
"r4rk1/1bn2p1p/p3pqpP/1p6/2p2N2/P1P1QP2/1PB2P1K/R4R2 b - - 2 25","-1","0","0","0","0"
"8/8/4p1k1/p1p1P1p1/PpP5/1P3KP1/8/8 b - - 1 35","0","0","0","0","0"
"r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r3r1k1/pppq1ppp/3bpn2/5b2/5B2/P1NP3P/BPP2PP1/R2QR1K1 w - - 3 15","0","0","0","0","0"
"r1b2r2/1p1p1pk1/p1p2q1p/6N1/1Q6/1P3P2/1PP3PP/R4RK1 b - - 1 24","0","0","0","0","0"
"r4rk1/1p2pp1p/3p2P1/2pPbP2/p1P1P3/Pq3Q2/1P4P1/1RB1R1K1 b - - 0 26","1","0","0","0","0"
"2rqk1nr/pp1nbppp/4p3/3p4/3P4/2PQ1N2/PP3PPP/RNB1R1K1 w k - 5 10","0","0","0","1","0"
"rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3","0","1","1","1","1"
"rn1qk1nr/pbp2ppp/1p1b4/8/7P/5N1R/PPPPP1P1/RNBQKB2 b Qkq - 2 6","1","0","1","1","1"
"r2qkbnr/pp1np3/2p4p/3p1p1b/3P2P1/2P1PN2/PP1NBPPB/R2QK2R b KQkq - 0 10","1","1","1","1","1"
"r2r2k1/1pq2pp1/1p2p2p/4P3/3R1P2/2P5/P1Q3PP/2B2K2 w - - 1 23","-1","0","0","0","0"
"k7/2r5/1Q6/8/5K2/3p4/8/8 w - - 0 61","1","0","0","0","0"
"r1bq1rk1/ppp1npbp/3p1np1/3P2B1/4P3/2NB1N2/PPP2PPP/R2QK2R b KQ - 5 9","1","1","1","0","0"
"8/8/1p1R3p/1P4p1/2k3P1/4K1P1/5Pr1/8 w - - 5 48","1","0","0","0","0"
"2k2rqr/p1p1b2p/1p2p3/1Q1n4/3P4/4P1P1/PP1N1P1R/2KR4 w - - 0 22","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"rn1qkbnr/pp3ppp/4p3/2ppP3/3P4/2P2B2/PP3PPP/RNBQK2R b KQkq - 0 7","0","1","1","1","1"
"4k1R1/5p2/2p2B2/2q5/3N1P2/3r3P/b4K2/6R1 b - - 3 34","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"2k3r1/pp1r3p/2np1b2/2p4p/4PP2/P1P1B2P/1P4BK/R4R2 b - - 0 21","0","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2","1","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1","0","1","1","1","1"
"r1bq1rk1/pp1p1pp1/2n1pn1p/8/3P3P/P1PB1N2/2PB1PP1/R2Q1RK1 b - - 1 12","0","0","0","0","0"
"8/1kq3p1/4p3/1P2r3/1Q3P1p/2P1B2P/r5P1/4R1K1 w - - 0 44","0","0","0","0","0"
"5r2/8/5p2/1Np2R2/4r2R/1P3kB1/P4P2/2K5 b - - 6 37","1","0","0","0","0"
"r2qk2r/1b1pbppp/p1n1pn2/1pp5/4PP2/1PPP1N2/P3B1PP/RNBQ1RK1 w kq - 1 9","0","0","0","1","1"
"8/5p2/4k3/4Pn2/2r5/4q3/1K6/8 b - - 5 60","-1","0","0","0","0"
"rn2kb1r/ppq1pppp/2pp1nb1/4P3/2PP2P1/2N2N1P/PP3P2/R1BQKB1R b KQkq - 0 8","0","1","1","1","1"
"2q1k2r/4bp2/rp1p1npp/1N1Pp3/P1p1Pn1N/2P1B3/4QPPP/R3R1K1 w k - 4 20","0","0","0","1","0"
"r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5","0","1","1","1","1"
"r4r2/3qnpkp/p2p2p1/2pPp2n/1pP1P3/7P/P1BQ1PPN/R4RK1 w - - 4 20","-1","0","0","0","0"
"1k1r3r/1p1bbp2/3p1n1p/pP1P2p1/P3P3/4BP2/3NQ1PP/2R3K1 w - - 1 20","1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1b1kb1r/1pp2ppp/p1n1pn2/q7/2B5/1QN1PN2/PP1P1PPP/R1B1K2R w KQkq - 0 8","0","1","1","1","1"
"r4b1r/3n1k2/4pP2/2pp3p/1q6/1NpQP1BP/P4RP1/2R3K1 w - - 0 24","0","0","0","0","0"
"2kr3r/pp1q1ppp/2pp1n2/n1B1p2b/4P3/2PP1N1P/PPB1QPP1/RN3RK1 b - - 0 12","1","0","0","0","0"
"6k1/5pp1/P6p/8/5P2/2N5/5P1P/R5K1 b - - 0 39","1","0","0","0","0"
"3r1rk1/pp1n1pbp/6p1/3Pp3/2P5/1P4B1/P3BPPP/2RR2K1 b - - 2 21","1","0","0","0","0"
"3r2k1/p5bp/1p4p1/4P3/1P3P2/P2p1KP1/3B1r1P/3R4 w - - 0 35","-1","0","0","0","0"
"5bk1/3B1p1p/4n1p1/1P1Np3/4P3/5P1P/2n2BP1/6K1 b - - 0 33","1","0","0","0","0"
"r1b1k2r/pp3ppp/2p1p3/2Pp1P2/1n1P2PP/4PN2/1P1N4/q1KR1B1R w kq - 3 16","-1","0","0","1","1"
"r2q1rk1/pb3ppp/1pp1pb2/8/2PP4/3B1N2/PPQ2PPP/R3K2R w KQ - 0 14","0","1","1","0","0"
"r2qkb1r/ppp2ppp/2np1n2/4p3/2BPP1b1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 2 6","0","1","1","1","1"
"3r1rk1/pp4pp/1bn3q1/P2bpp2/7Q/1NP2NP1/1P3PBP/R3R1K1 b - - 0 18","0","0","0","0","0"
"r1bqk2r/1pp2pp1/p1np1n1p/4p3/1b2P3/2NP1N1P/PPPB1PP1/R2QKB1R w KQkq - 0 8","0","1","1","1","1"
"r2q1k1r/ppp1b1p1/2n1bn1p/3pp3/4P3/1QPP1N2/PP3PPP/RNB2RK1 w - - 2 11","-1","0","0","0","0"
"r5k1/pp4pp/3b4/2p3q1/8/2P4b/5PP1/3R2K1 w - - 0 23","-1","0","0","0","0"
"5b1N/p2nk1pp/1q1p1n2/1p1bp3/1P2P3/8/P2P1PPP/RNBQK2R w KQ - 0 15","1","1","1","0","0"
"3k3r/5qpp/2pp1p2/2R2P2/3P4/5N2/6PP/2B3K1 w - - 0 28","-1","0","0","0","0"
"2r2k2/pp3p1b/8/5PQ1/7P/P7/1P6/K1r5 w - - 1 36","-1","0","0","0","0"
"r2qr1k1/1B3pp1/p4n1p/4b3/2P4B/3P3P/Pp3PP1/1R1Q1RK1 b - - 0 18","1","0","0","0","0"
"r2rn1k1/p1qb1pp1/1p2p3/2ppN1P1/1P6/P2BP3/2PB3P/Q4RK1 w - - 1 23","-1","0","0","0","0"
"7r/pk1bbppp/4p3/8/2pP1P2/4P3/P2BnKPP/R4R2 b - - 3 21","-1","0","0","0","0"
"6k1/pppb1pp1/2n1qn1p/3p4/3P4/2PB1N1P/PP1N1PP1/5QK1 b - - 2 17","0","0","0","0","0"
"r6r/pppk1ppp/2n5/q3Nb2/P1BPn3/B3P3/5PPP/2RQ1RK1 b - - 8 15","0","0","0","0","0"
"5r1k/5pp1/5np1/2Pp4/3Pp3/4Q2P/q3B1P1/5RK1 w - - 0 29","-1","0","0","0","0"
"r1bqk2r/pppp1ppp/5nn1/2bPp3/4P3/2N3P1/PPP2PBP/R1BQK1NR w KQkq - 3 7","0","1","1","1","1"
"r1b2rk1/1pp1bppp/p2q4/2nn2N1/P1B5/B1N5/2Q2PPP/R3R1K1 w - - 0 16","-1","0","0","0","0"
"rn1qkbnr/ppp1pppp/8/5bN1/4p3/8/PPPP1PPP/RNBQKB1R w KQkq - 2 4","-1","1","1","1","1"
"r2qk2r/ppp2ppp/2n2n2/5bB1/2BPp3/2P4N/P1P1Q1PP/R3K2R b KQkq - 4 10","-1","1","1","1","1"
"8/8/8/1k6/1pb5/p7/8/K7 b - - 1 61","-1","0","0","0","0"
"2rqkb1r/pb3ppp/1pn1pn2/1BppN3/3P1B2/2P1P3/PPQ2PPP/RN2K2R b KQk - 5 9","0","1","1","1","0"
"r4rk1/ppp2ppp/2n1pb2/q7/6b1/P1NP1N2/1PP1BPPP/R2Q1RK1 w - - 1 11","0","0","0","0","0"
"r2qkb1r/ppp2ppp/2n1bn2/4p1N1/2B4P/1QP5/PP1P2P1/RNB1K2R b KQkq - 6 8","-1","1","1","1","1"
"r1bq1rk1/p2nppbp/1pn3p1/2ppP3/5P2/2NP1NP1/PPP3BP/R1BQ1RK1 w - - 0 10","0","0","0","0","0"
"r5k1/5p1p/6p1/3RP3/pp1P4/4KP2/PP3P1P/8 b - - 0 25","1","0","0","0","0"
"r2qr1k1/1b1n1ppp/1pp2n2/4p3/1P1P4/4PN2/B1QB1PPP/R4RK1 w - - 0 17","0","0","0","0","0"
"r2q1rk1/pp4pp/4p3/4N3/1b1PQ3/8/PP3PPP/R4RK1 b - - 0 18","1","0","0","0","0"
"r1bQ1rk1/1p2n1bp/2p1Ppp1/p1p5/2B1P3/2N2N2/PPP2PPP/R4RK1 b - - 0 13","1","0","0","0","0"
"r2qkb1r/pp2nppp/3p1nb1/2pPp3/2P1P1P1/2NB1N1P/PP3P2/R1BQK2R w KQkq - 1 10","0","1","1","1","1"
"rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2","0","1","1","1","1"
"8/2kr4/2p2R2/p2p4/8/b7/PPp2PPP/2Q3K1 w - - 2 40","1","0","0","0","0"
"8/p2p3p/1pb2kp1/2b5/2P5/P7/1Pn3PP/R1B1R2K w - - 1 25","1","0","0","0","0"
"r3kr2/ppp1nnQ1/3qR2p/8/2Bp3P/8/PPP2PP1/R5K1 b q - 2 17","-1","0","0","0","1"
"2krr3/1pp3pp/p1n5/4pp2/P1Pq4/8/2P1QPPP/1RB1R1K1 w - - 4 21","-1","0","0","0","0"
"2r1r1k1/1q3ppp/bp1bp3/p2p2NP/3P1P1Q/4P3/PP4P1/1K1R3R b - - 0 24","-1","0","0","0","0"
"6r1/ppp5/3pk3/8/8/1P3NKR/P1P5/8 w - - 1 37","1","0","0","0","0"
"r3kb1r/pp2pp2/2p1b2p/3pP1p1/5P2/2RPPN2/P2N2PP/3K3R b kq - 0 18","-1","0","0","1","1"
"3r1rk1/pp3p1p/2pP1p2/8/8/2Nb4/PPP2PPP/2K4R w - - 0 20","-1","0","0","0","0"
"rnbq1rk1/pp3ppp/4p3/2p5/1b1P4/P1B1PN2/1P3PPP/R2QKB1R b KQ - 0 9","0","1","1","0","0"
